time/fps,train/learning_rate,train/n_updates,train/actor_loss,time/total_timesteps,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/critic_loss
8,0.001,3781,5.130964279174805,3882,451,0.23958333333333334,40.4375,-40.197916666666664,96,0.14802142977714539
8,0.001,3891,4.7758097648620605,3992,461,0.25,39.92,-39.67,100,0.14613962173461914
8,0.001,3989,4.555483341217041,4090,474,0.28,38.9,-38.62,104,0.12174514681100845
8,0.001,4057,4.435246467590332,4158,482,0.31,37.58,-37.27,108,0.1631781905889511
8,0.001,4170,4.393954753875732,4271,496,0.32,37.06,-36.74,112,0.15050554275512695
8,0.001,4250,3.9897890090942383,4351,509,0.35,35.86,-35.51,116,0.16865132749080658
8,0.001,4314,3.705294132232666,4415,518,0.38,34.5,-34.12,120,0.17750921845436096
8,0.001,4376,4.397753715515137,4477,528,0.41,33.12,-32.71,124,0.1510876715183258
8,0.001,4398,4.193233966827393,4499,532,0.45,31.34,-30.89,128,0.1354682743549347
8,0.001,4437,3.6282217502593994,4538,539,0.49,29.73,-29.24,132,0.21188846230506897
8,0.001,4457,3.9569005966186523,4558,542,0.53,27.93,-27.4,136,0.15763874351978302
8,0.001,4554,3.653503656387329,4655,555,0.55,27.27,-26.72,140,0.1592651605606079
8,0.001,4569,3.927717685699463,4670,557,0.59,25.42,-24.83,144,0.19019638001918793
8,0.001,4675,4.039772987365723,4776,578,0.61,24.48,-23.87,148,0.1737346202135086
8,0.001,4696,4.0126261711120605,4797,583,0.65,22.69,-22.04,152,0.1784432828426361
8,0.001,4722,3.6658668518066406,4823,586,0.69,20.95,-20.26,156,0.19679853320121765
8,0.001,4752,3.566301107406616,4853,590,0.72,19.7,-18.98,160,0.1774730086326599
8,0.001,4815,3.7310304641723633,4916,598,0.73,18.95,-18.22,164,0.1621147096157074
8,0.001,4876,3.7548773288726807,4977,606,0.74,18.5,-17.76,168,0.16600240767002106
8,0.001,4896,3.87611722946167,4997,609,0.76,17.15,-16.39,172,0.14841659367084503
8,0.001,4913,3.137094020843506,5014,611,0.78,16.17,-15.39,176,0.14737075567245483
8,0.001,4969,3.366008996963501,5070,617,0.79,15.51,-14.72,180,0.14915268123149872
8,0.001,4992,3.2844080924987793,5093,619,0.82,14.18,-13.36,184,0.16576352715492249
8,0.001,5007,2.570024013519287,5108,621,0.83,13.56,-12.73,188,0.17847329378128052
