train/n_updates,time/total_timesteps,time/time_elapsed,time/episodes,time/fps,rollout/success_rate,train/learning_rate,train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss
6109,6210,906,288,6,0.97,0.001,4.431430816650391,7.31,-6.34,0.47912952303886414
6129,6230,909,292,6,0.97,0.001,4.5525712966918945,7.34,-6.37,0.304114431142807
6154,6255,917,296,6,0.97,0.001,4.521867752075195,7.41,-6.44,0.335218608379364
6174,6275,921,300,6,0.97,0.001,4.513813495635986,7.31,-6.34,0.3918692469596863
6189,6290,924,304,6,0.97,0.001,4.652253150939941,6.92,-5.95,0.4405103027820587
6210,6311,928,308,6,0.98,0.001,4.5617356300354,6.47,-5.49,0.2874181270599365
6242,6343,934,312,6,0.98,0.001,4.179318428039551,6.58,-5.6,0.38680702447891235
6258,6359,936,316,6,0.98,0.001,4.375102519989014,6.56,-5.58,0.3372635245323181
6322,6423,947,320,6,0.97,0.001,4.308510780334473,6.95,-5.98,0.3679671883583069
6343,6444,953,324,6,0.97,0.001,4.658839702606201,6.99,-6.02,0.3975644111633301
6367,6468,961,328,6,0.97,0.001,4.213829517364502,7.05,-6.08,0.3214591145515442
6386,6487,964,332,6,0.97,0.001,4.776337146759033,7.02,-6.05,0.32666683197021484
6403,6504,966,336,6,0.97,0.001,4.565077781677246,7.03,-6.06,0.3535270392894745
6422,6523,969,340,6,0.97,0.001,4.224767208099365,7.04,-6.07,0.23417998850345612
6451,6552,975,344,6,0.97,0.001,4.183642864227295,6.71,-5.74,0.36415353417396545
6469,6570,979,348,6,0.98,0.001,4.120173454284668,6.26,-5.28,0.3701743483543396
6492,6593,986,352,6,0.98,0.001,4.306957721710205,6.25,-5.27,0.3437383770942688
6512,6613,990,356,6,0.98,0.001,4.082480430603027,6.19,-5.21,0.4014275074005127
6537,6638,995,360,6,0.98,0.001,3.820746421813965,6.21,-5.23,0.30967268347740173
6561,6662,1001,364,6,0.98,0.001,3.9816904067993164,6.26,-5.28,0.4072868525981903
6577,6678,1004,368,6,0.98,0.001,4.346518516540527,6.24,-5.26,0.35952484607696533
6601,6702,1008,372,6,0.98,0.001,4.068262577056885,6.31,-5.33,0.39554113149642944
6617,6718,1011,376,6,0.98,0.001,4.507213592529297,6.26,-5.28,0.35088279843330383
6633,6734,1013,380,6,0.98,0.001,4.626241683959961,6.12,-5.14,0.2802070677280426
6649,6750,1016,384,6,0.98,0.001,4.1444573402404785,6.03,-5.05,0.395809531211853
6665,6766,1019,388,6,0.99,0.001,4.438129425048828,5.56,-4.57,0.5621784329414368
6689,6790,1025,392,6,0.99,0.001,4.43070125579834,5.6,-4.61,0.3066794276237488
6705,6806,1029,396,6,0.99,0.001,4.318638801574707,5.51,-4.52,0.3200339078903198
6765,6866,1042,400,6,0.98,0.001,4.082408905029297,5.91,-4.8839999999999995,0.24591735005378723
6778,6879,1043,404,6,0.98,0.001,4.356208801269531,5.89,-4.864,0.29571157693862915
6806,6907,1047,408,6,0.98,0.001,4.247713088989258,5.96,-4.934,0.32257723808288574
6829,6930,1050,412,6,0.98,0.001,4.122054100036621,5.87,-4.843999999999999,0.3389884829521179
6849,6950,1051,416,6,0.98,0.001,4.334914684295654,5.91,-4.8839999999999995,0.32753708958625793
6869,6970,1053,420,6,0.99,0.001,3.950737237930298,5.47,-4.434,0.32921355962753296
6889,6990,1055,424,6,0.99,0.001,4.103482246398926,5.46,-4.4239999999999995,0.3176884949207306
6917,7018,1058,428,6,0.99,0.001,4.3586835861206055,5.5,-4.4639999999999995,0.33296918869018555
6942,7043,1061,432,6,0.99,0.001,3.716083526611328,5.56,-4.524,0.30692699551582336
6957,7058,1064,436,6,0.99,0.001,4.139321327209473,5.54,-4.504,0.29137513041496277
6968,7069,1067,440,6,0.99,0.001,4.2487945556640625,5.46,-4.4239999999999995,0.2830660343170166
6982,7083,1069,444,6,0.99,0.001,4.301142692565918,5.31,-4.274,0.28548288345336914
7005,7106,1071,448,6,0.99,0.001,4.183920383453369,5.36,-4.324,0.35368669033050537
7026,7127,1074,452,6,0.99,0.001,4.042176723480225,5.34,-4.303999999999999,0.28654828667640686
7045,7146,1077,456,6,0.99,0.001,4.178823947906494,5.33,-4.294,0.43069690465927124
7064,7165,1081,460,6,0.99,0.001,4.1169209480285645,5.27,-4.234,0.3258567452430725
