train/ent_coef_loss,time/fps,time/time_elapsed,rollout/success_rate,train/ent_coef,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,time/episodes,train/actor_loss,train/critic_loss,train/learning_rate
-10.162467956542969,21,363,0.2,0.09757702797651291,7973,44.5,-8.562722399999998,7872,172,-16.552473068237305,0.09018510580062866,0.0003
-10.1202974319458,21,377,0.21,0.09343066811561584,8124,44.01,-8.265981009999997,8023,176,-16.292072296142578,0.09228526055812836,0.0003
-10.23239517211914,21,384,0.23,0.08993172645568848,8257,43.34,-8.02149326,8156,180,-16.32306671142578,0.10040734708309174,0.0003
-10.194787979125977,21,388,0.25,0.08697924762964249,8374,42.51,-7.658390150000002,8273,184,-16.252731323242188,0.09331518411636353,0.0003
-10.104707717895508,21,396,0.27,0.08295870572328568,8542,42.19,-7.538862270000001,8441,188,-15.875247955322266,1.1056320667266846,0.0003
-10.59237003326416,19,436,0.27,0.07914204895496368,8708,42.05,-7.36758553,8607,192,-15.913265228271484,1.0527067184448242,0.0003
-10.649079322814941,18,492,0.27,0.074787437915802,8908,42.05,-7.38419373,8807,196,-15.630712509155273,0.11453883349895477,0.0003
-10.719714164733887,17,517,0.28,0.07227329909801483,9029,41.52,-7.337852799999999,8928,200,-15.601164817810059,0.8223549127578735,0.0003
-10.53905963897705,16,550,0.29,0.06920034438371658,9185,41.08,-7.181990440000001,9084,204,-15.215531349182129,1.010589599609375,0.0003
-10.393908500671387,15,596,0.28,0.0654628574848175,9385,41.53,-7.17215188,9284,208,-15.044698715209961,0.5445705652236938,0.0003
-10.67237377166748,15,627,0.29,0.0630168542265892,9523,41.03,-7.0299825600000005,9422,212,-14.919537544250488,2.2266225814819336,0.0003
-10.76026725769043,14,674,0.28,0.059630751609802246,9723,41.32,-6.97659261,9622,216,-14.823223114013672,1.3368637561798096,0.0003
-10.296656608581543,13,734,0.27,0.05688777193427086,9893,41.37,-6.973550369999999,9792,220,-14.327709197998047,0.11293721199035645,0.0003
-9.755073547363281,12,794,0.27,0.05424295738339424,10064,41.42,-7.012611730000001,9963,224,-14.270886421203613,0.08578245341777802,0.0003
-10.737296104431152,12,855,0.27,0.05136430636048317,10264,41.42,-6.998791040000001,10163,228,-14.27016544342041,0.08945920318365097,0.0003
-10.837268829345703,11,905,0.26,0.04892206937074661,10442,41.77,-7.07521293,10341,232,-14.251479148864746,0.4796212315559387,0.0003
-10.522262573242188,11,950,0.27,0.04691959172487259,10596,41.31,-6.9734561600000005,10495,236,-13.581225395202637,1.1117587089538574,0.0003
-10.687162399291992,10,1006,0.27,0.04492581635713577,10757,41.31,-7.018343980000001,10656,240,-13.497299194335938,0.7617321610450745,0.0003
-10.404600143432617,10,1085,0.25,0.04261763021349907,10957,41.97,-7.108765850000001,10856,244,-13.735292434692383,0.21100464463233948,0.0003
-10.122915267944336,9,1145,0.25,0.04087282344698906,11111,41.95,-7.192272610000001,11010,248,-13.344897270202637,0.10184164345264435,0.0003
-10.194230079650879,9,1212,0.26,0.03882783651351929,11302,41.86,-7.0689566500000005,11201,252,-13.262734413146973,1.1482365131378174,0.0003
-9.756854057312012,8,1277,0.26,0.03723302111029625,11460,41.52,-7.065547779999999,11359,256,-12.958928108215332,0.7304168939590454,0.0003
