train/learning_rate,time/total_timesteps,time/episodes,time/fps,rollout/success_rate,train/critic_loss,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss
0.001,3558,340,4,0.99,0.0016949472483247519,3457,5.02,-0.50280736,813,0.2338850349187851
0.001,3573,344,4,0.99,0.0020660352893173695,3472,5.0,-0.50040748,817,0.21686163544654846
0.001,3592,348,4,0.99,0.0016816065181046724,3491,5.05,-0.5063888,823,0.22684714198112488
0.001,3613,352,4,0.99,0.0016423233319073915,3512,5.08,-0.51165123,827,0.24850451946258545
0.001,3631,356,4,0.99,0.0018754120683297515,3530,5.13,-0.51870983,832,0.22512224316596985
0.001,3649,360,4,0.99,0.0016508910339325666,3548,5.13,-0.52078876,836,0.2595055103302002
0.001,3670,364,4,0.99,0.0015073379036039114,3569,4.91,-0.5017535200000001,839,0.24951760470867157
0.001,3683,368,4,0.99,0.0014250872191041708,3582,4.84,-0.49346716000000007,842,0.22122475504875183
0.001,3704,372,4,0.99,0.0018172399140894413,3603,4.88,-0.4980787299999999,846,0.2571929693222046
0.001,3720,376,4,0.99,0.0018627530662342906,3619,4.88,-0.4993573500000001,849,0.20100095868110657
0.001,3738,380,4,0.99,0.001432915567420423,3637,4.87,-0.49568492,852,0.2826414704322815
0.001,3756,384,4,0.99,0.0016605507116764784,3655,4.9,-0.5028637100000001,859,0.20552034676074982
0.001,3775,388,4,0.99,0.0015354801435023546,3674,4.9,-0.49990746,866,0.26534831523895264
0.001,3796,392,4,0.99,0.0015135649591684341,3695,4.91,-0.50049711,872,0.20752973854541779
0.001,3816,396,4,0.99,0.0014107255265116692,3715,4.96,-0.50286762,881,0.20023022592067719
0.001,3834,400,4,0.99,0.0015648504486307502,3733,5.02,-0.5113403799999999,887,0.239848792552948
0.001,3851,404,4,0.99,0.002393927425146103,3750,5.0,-0.50771844,891,0.2631893754005432
0.001,3916,408,4,0.98,0.001284108031541109,3815,5.49,-0.5492437000000001,905,0.24304106831550598
0.001,3944,412,4,0.98,0.0015785020077601075,3843,5.59,-0.55820703,913,0.23117153346538544
0.001,3970,416,4,0.98,0.001791677437722683,3869,5.71,-0.57201983,918,0.2540418207645416
0.001,3986,420,4,0.98,0.0026708589866757393,3885,5.68,-0.5700476800000001,921,0.27978548407554626
0.001,4003,424,4,0.98,0.0031866985373198986,3902,5.67,-0.5723398599999999,924,0.2718625068664551
0.001,4020,428,4,0.99,0.001670166035182774,3919,5.21,-0.51979124,927,0.25543731451034546
0.001,4034,432,4,0.99,0.0023231946397572756,3933,5.17,-0.5130557800000001,931,0.2390153408050537
0.001,4056,436,4,0.99,0.001601849915459752,3955,5.2,-0.5212984500000001,935,0.2892523407936096
0.001,4072,440,4,0.99,0.0015513442922383547,3971,5.14,-0.51002394,939,0.19087955355644226
0.001,4087,444,4,0.99,0.0019842754118144512,3986,5.14,-0.50924163,942,0.1984204202890396
0.001,4105,448,4,0.99,0.001266281004063785,4004,5.13,-0.5129958600000001,946,0.21185460686683655
0.001,4121,452,4,0.99,0.0014744889922440052,4020,5.08,-0.5045759400000001,950,0.21869976818561554
0.001,4136,456,4,0.99,0.0024809455499053,4035,5.05,-0.49807502,954,0.23165178298950195
0.001,4151,460,4,0.99,0.0021677666809409857,4050,5.02,-0.49573007999999996,957,0.20294912159442902
0.001,4169,464,4,0.99,0.0012675421312451363,4068,4.99,-0.49455458,960,0.19982632994651794
0.001,4188,468,4,0.99,0.0018343515694141388,4087,5.05,-0.50037485,963,0.20824971795082092
0.001,4205,472,4,0.99,0.001586634200066328,4104,5.01,-0.4970894400000001,967,0.1624419391155243
0.001,4221,476,4,0.99,0.0015889918431639671,4120,5.01,-0.49866234000000015,971,0.2285560816526413
0.001,4240,480,4,0.99,0.001361848320811987,4139,5.02,-0.5050588900000001,975,0.24066929519176483
0.001,4255,484,4,0.99,0.0018711641896516085,4154,4.99,-0.49539799999999995,978,0.22930561006069183
0.001,4273,488,4,0.99,0.0016415196005254984,4172,4.98,-0.4976450799999999,985,0.20691466331481934
0.001,4289,492,4,0.99,0.00124102714471519,4188,4.93,-0.48857700000000004,988,0.23754020035266876
0.001,4310,496,4,0.99,0.0013700734125450253,4209,4.94,-0.49527491000000007,993,0.30182695388793945
0.001,4326,500,4,0.99,0.0014529530890285969,4225,4.92,-0.49296187999999996,996,0.24380278587341309
0.001,4345,504,4,0.99,0.0018089787336066365,4244,4.94,-0.49218585,1001,0.2615209221839905
0.001,4357,508,4,1.0,0.0015228178817778826,4256,4.41,-0.44562441999999997,1003,0.18618249893188477
0.001,4402,512,4,1.0,0.0010250332998111844,4301,4.58,-0.45546243000000003,1018,0.20834332704544067
0.001,4416,516,4,1.0,0.0012766660656780005,4315,4.46,-0.44245946,1021,0.18600644171237946
0.001,4431,520,4,1.0,0.00140400102827698,4330,4.45,-0.44155054,1025,0.21235613524913788
0.001,4446,524,4,1.0,0.0014810940483585,4345,4.43,-0.43744556,1029,0.22740808129310608
0.001,4461,528,4,1.0,0.001287148566916585,4360,4.41,-0.4365325500000001,1037,0.17005513608455658
0.001,4481,532,4,1.0,0.0017911794129759073,4380,4.47,-0.44531909999999997,1043,0.25606846809387207
0.001,4498,536,4,1.0,0.001449128147214651,4397,4.42,-0.43727041,1047,0.19731751084327698
0.001,4514,540,4,1.0,0.0016148382565006614,4413,4.42,-0.4391884099999999,1050,0.18223068118095398
0.001,4537,544,4,1.0,0.0016303971642628312,4436,4.5,-0.45342298000000014,1056,0.2299654483795166
0.001,4552,548,4,1.0,0.0015276994090527296,4451,4.47,-0.44744386999999997,1058,0.1714339554309845
0.001,4567,552,4,1.0,0.00146536307875067,4466,4.46,-0.45103185,1062,0.24072375893592834
0.001,4629,556,4,0.99,0.0017409028951078653,4528,4.93,-0.4900937700000001,1078,0.19835560023784637
0.001,4642,560,4,0.99,0.001515969168394804,4541,4.91,-0.4849215,1081,0.20409956574440002
0.001,4658,564,4,0.99,0.001613871194422245,4557,4.89,-0.48247859000000004,1084,0.2188153713941574
0.001,4675,568,4,0.99,0.0015814630314707756,4574,4.87,-0.48089216,1090,0.20947852730751038
0.001,4686,572,4,0.99,0.0014184361789375544,4585,4.81,-0.47026008000000014,1092,0.2270682454109192
0.001,4705,576,4,0.99,0.001320784678682685,4604,4.84,-0.47646173,1095,0.20733460783958435
0.001,4720,580,4,0.99,0.0011136152315884829,4619,4.8,-0.46913391,1098,0.2210804969072342
0.001,4735,584,4,0.99,0.0016900879563763738,4634,4.8,-0.47394395,1101,0.20306386053562164
0.001,4755,588,4,0.99,0.0014881347306072712,4654,4.82,-0.47859683,1105,0.20570310950279236
0.001,4780,592,4,0.99,0.0010244682198390365,4679,4.91,-0.4971107800000001,1109,0.18405315279960632
0.001,4797,596,4,0.99,0.0014406623085960746,4696,4.87,-0.49507402,1113,0.16701042652130127
0.001,4817,600,4,0.99,0.0014521342236548662,4716,4.91,-0.5014459499999999,1116,0.21216195821762085
0.001,4835,604,4,0.99,0.001161814434453845,4734,4.9,-0.50300452,1121,0.21690213680267334
0.001,4851,608,4,0.99,0.0014137367252260447,4750,4.94,-0.5095299299999999,1125,0.23595896363258362
0.001,4870,612,4,0.99,0.001504844636656344,4769,4.68,-0.49078524,1130,0.22355365753173828
0.001,4890,616,4,0.99,0.0015012134099379182,4789,4.74,-0.4993441999999999,1134,0.1644507199525833
0.001,4909,620,4,0.99,0.0015528373187407851,4808,4.78,-0.5072800799999999,1142,0.20101749897003174
0.001,4932,624,4,0.99,0.0012405473971739411,4831,4.86,-0.5175993799999999,1150,0.2002827227115631
0.001,4953,628,4,0.99,0.0020561045967042446,4852,4.92,-0.5263885899999999,1155,0.26381123065948486
0.001,4970,632,4,0.99,0.002180719282478094,4869,4.89,-0.52270936,1158,0.1875058263540268
0.001,4989,636,4,0.99,0.0015324591659009457,4888,4.91,-0.52469058,1163,0.21364441514015198
0.001,5007,640,4,0.99,0.001276839873753488,4906,4.93,-0.5266917499999999,1169,0.19524285197257996
0.001,5029,644,4,0.99,0.0012268552090972662,4928,4.92,-0.5212914300000001,1174,0.17882278561592102
0.001,5046,648,4,0.99,0.0012434821110218763,4945,4.94,-0.52167878,1178,0.20162491500377655
0.001,5064,652,4,0.99,0.0012834863737225533,4963,4.97,-0.5235883100000001,1181,0.23085956275463104
0.001,5083,656,4,1.0,0.001067914068698883,4982,4.54,-0.48988337000000004,1185,0.2023245245218277
0.001,5105,660,4,1.0,0.0011141822906211019,5004,4.63,-0.49879016,1190,0.1838962733745575
0.001,5120,664,4,1.0,0.0010580250527709723,5019,4.62,-0.49582637999999996,1194,0.19654017686843872
0.001,5136,668,4,1.0,0.001156407524831593,5035,4.61,-0.4938940399999999,1197,0.24037893116474152
0.001,5147,672,4,1.0,0.001260221004486084,5046,4.61,-0.49555078,1199,0.19752365350723267
0.001,5167,676,4,1.0,0.0011502536945044994,5066,4.62,-0.4919551200000001,1204,0.22282400727272034
0.001,5184,680,4,1.0,0.00128641608171165,5083,4.64,-0.49731916000000004,1206,0.18475303053855896
0.001,5198,684,4,1.0,0.0011387403355911374,5097,4.63,-0.49354235,1209,0.18506380915641785
0.001,5219,688,4,1.0,0.0014523831196129322,5118,4.64,-0.49214382000000007,1216,0.21715646982192993
0.001,5240,692,4,1.0,0.001575252041220665,5139,4.6,-0.48184624000000015,1223,0.20951968431472778
0.001,5261,696,4,1.0,0.001017994829453528,5160,4.64,-0.48043732999999994,1229,0.17904914915561676
0.001,5279,700,4,1.0,0.0015080749290063977,5178,4.62,-0.4734034,1236,0.22400552034378052
0.001,5296,704,4,1.0,0.0012562202755361795,5195,4.61,-0.47703691,1241,0.1902705430984497
0.001,5310,708,4,1.0,0.001246368046849966,5209,4.59,-0.47220421,1246,0.1959647536277771
0.001,5324,712,4,1.0,0.001126870745792985,5223,4.54,-0.4642729,1249,0.18206600844860077
0.001,5338,716,4,1.0,0.0012220703065395355,5237,4.48,-0.4558212399999999,1253,0.20865562558174133
0.001,5357,720,4,1.0,0.0019037777092307806,5256,4.48,-0.45645539,1256,0.22970014810562134
0.001,5372,724,4,1.0,0.0014074495993554592,5271,4.4,-0.44440717999999996,1259,0.17939357459545135
0.001,5387,728,4,1.0,0.0019340040162205696,5286,4.34,-0.4351927,1263,0.2131233811378479
0.001,5451,732,4,0.99,0.001838653814047575,5350,4.81,-0.47130632999999994,1279,0.21574313938617706
0.001,5465,736,4,0.99,0.0013272414216771722,5364,4.76,-0.46499847999999994,1281,0.2125418782234192
0.001,5486,740,4,0.99,0.0011883836705237627,5385,4.79,-0.47218281000000006,1283,0.2060994803905487
0.001,5506,744,4,0.99,0.0016127282287925482,5405,4.77,-0.47310917999999996,1286,0.22006797790527344
0.001,5525,748,4,0.99,0.0011604237370193005,5424,4.79,-0.4791748000000001,1289,0.2258615791797638
0.001,5536,752,4,0.99,0.0018154073040932417,5435,4.72,-0.4684427399999999,1290,0.1823669672012329
0.001,5551,756,4,0.99,0.0013502496294677258,5450,4.68,-0.46690705,1292,0.17036066949367523
0.001,5568,760,4,0.99,0.0011047900188714266,5467,4.63,-0.46561867000000007,1294,0.23270566761493683
0.001,5587,764,4,0.99,0.0014853791799396276,5486,4.67,-0.4724794500000001,1296,0.16828565299510956
0.001,5603,768,4,0.99,0.0012484884355217218,5502,4.67,-0.47589122000000006,1299,0.218221053481102
0.001,5623,772,4,0.99,0.0010296475375071168,5522,4.76,-0.49186518999999995,1303,0.21124766767024994
0.001,5639,776,4,0.99,0.0016572806052863598,5538,4.72,-0.48985665000000006,1306,0.19075506925582886
0.001,5658,780,4,0.99,0.001225355314090848,5557,4.74,-0.48872277000000003,1308,0.22675898671150208
0.001,5673,784,4,0.99,0.0010312411468476057,5572,4.75,-0.48831593999999995,1311,0.18919190764427185
0.001,5686,788,4,0.99,0.0017688246443867683,5585,4.67,-0.47660682,1313,0.16847491264343262
