rollout/ep_len_mean,time/fps,train/learning_rate,time/time_elapsed,train/critic_loss,time/episodes,rollout/ep_rew_mean,train/actor_loss,train/n_updates,time/total_timesteps,rollout/success_rate
4.82,5,0.001,1323,0.17548388242721558,512,-3.82,-0.2867423892021179,7364,7465,1.0
4.8,5,0.001,1326,0.19247911870479584,516,-3.8,-0.8840017914772034,7381,7482,1.0
5.23,5,0.001,1337,0.1465264856815338,520,-4.24,-0.18332603573799133,7444,7545,0.99
5.21,5,0.001,1342,0.1691693812608719,524,-4.22,-0.4436265826225281,7463,7564,0.99
5.23,5,0.001,1344,0.15252117812633514,528,-4.24,-0.6181253790855408,7483,7584,0.99
5.28,5,0.001,1348,0.13615213334560394,532,-4.29,-0.21839895844459534,7509,7610,0.99
5.27,5,0.001,1353,0.1716141253709793,536,-4.28,-0.5805541276931763,7526,7627,0.99
5.31,5,0.001,1356,0.14682866632938385,540,-4.32,-0.23977544903755188,7543,7644,0.99
5.32,5,0.001,1360,0.13655143976211548,544,-4.33,-0.754379153251648,7561,7662,0.99
5.27,5,0.001,1362,0.10504866391420364,548,-4.28,-1.004370927810669,7578,7679,0.99
5.22,5,0.001,1365,0.16322749853134155,552,-4.23,-0.6683006286621094,7594,7695,0.99
5.2,5,0.001,1368,0.1321059763431549,556,-4.21,-0.6689241528511047,7616,7717,0.99
5.25,5,0.001,1371,0.14168000221252441,560,-4.26,-0.5292055606842041,7636,7737,0.99
5.32,5,0.001,1374,0.12056997418403625,564,-4.33,-0.36225369572639465,7661,7762,0.99
5.24,5,0.001,1376,0.1588273048400879,568,-4.25,-0.396396666765213,7673,7774,0.99
5.33,5,0.001,1382,0.1301649808883667,572,-4.34,-0.4270208477973938,7700,7801,0.99
5.32,5,0.001,1384,0.13860110938549042,576,-4.33,-0.4720560312271118,7717,7818,0.99
5.31,5,0.001,1387,0.14171791076660156,580,-4.32,-0.1230761706829071,7735,7836,0.99
5.45,5,0.001,1395,0.13510119915008545,584,-4.46,-0.049062877893447876,7764,7865,0.99
5.45,5,0.001,1398,0.13627201318740845,588,-4.46,-0.7727084755897522,7779,7880,0.99
5.47,5,0.001,1402,0.17016085982322693,592,-4.48,-0.7174949049949646,7802,7903,0.99
5.45,5,0.001,1405,0.15229138731956482,596,-4.46,-0.716881275177002,7819,7920,0.99
5.41,5,0.001,1407,0.1434241384267807,600,-4.42,-0.8979367017745972,7834,7935,0.99
5.36,5,0.001,1410,0.1246003657579422,604,-4.37,-0.8518937826156616,7852,7953,0.99
5.36,5,0.001,1414,0.18310503661632538,608,-4.37,-0.2912323772907257,7874,7975,0.99
5.27,5,0.001,1416,0.15300387144088745,612,-4.28,-0.19415263831615448,7891,7992,0.99
