rollout/ep_len_mean,rollout/success_rate,train/critic_loss,time/fps,train/n_updates,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/learning_rate,train/actor_loss
6.72,0.96,0.000983431818895042,8,3845,455,3946,284,-0.6628013300000001,0.001,0.3375203609466553
6.88,0.96,0.0007561825914308429,8,3876,458,3977,288,-0.6761199000000001,0.001,0.3669280409812927
6.82,0.96,0.0009000638965517282,8,3893,460,3994,292,-0.6727712500000002,0.001,0.377225786447525
6.84,0.96,0.0011947948951274157,8,3914,463,4015,296,-0.6797955,0.001,0.35766056180000305
6.34,0.97,0.0008832633611746132,8,3932,465,4033,300,-0.64416694,0.001,0.40479475259780884
6.32,0.97,0.0006674699834547937,8,3946,467,4047,304,-0.64593615,0.001,0.334250271320343
5.86,0.98,0.0006316896760836244,8,3965,469,4066,308,-0.60077736,0.001,0.3500492572784424
5.84,0.98,0.0008800317882560194,8,3986,472,4087,312,-0.6003930700000001,0.001,0.3076372444629669
5.77,0.98,0.0008248307276517153,8,4004,474,4105,316,-0.58880781,0.001,0.3196339011192322
5.73,0.98,0.0006312707555480301,8,4022,477,4123,320,-0.58235562,0.001,0.28702810406684875
6.18,0.97,0.0007551002781838179,8,4086,485,4187,324,-0.6145599300000001,0.001,0.29497936367988586
6.12,0.97,0.0007685819873586297,8,4101,487,4202,328,-0.60372861,0.001,0.2408362329006195
6.15,0.97,0.0006153408903628588,8,4118,490,4219,332,-0.6051438,0.001,0.24106496572494507
6.19,0.97,0.000684133789036423,8,4136,492,4237,336,-0.61235455,0.001,0.36806631088256836
6.22,0.97,0.0007584146806038916,8,4153,495,4254,340,-0.6170285400000001,0.001,0.34225305914878845
6.22,0.97,0.0007431483245454729,8,4170,497,4271,344,-0.6158255599999999,0.001,0.37137481570243835
6.34,0.97,0.0005381370428949594,8,4197,501,4298,348,-0.6282677899999999,0.001,0.30450063943862915
6.32,0.97,0.0007320352597162127,8,4213,503,4314,352,-0.62451054,0.001,0.26053452491760254
6.34,0.97,0.0005280784680508077,8,4234,505,4335,356,-0.6302559999999999,0.001,0.2840507924556732
6.26,0.97,0.0006694694748148322,8,4246,506,4347,360,-0.61974579,0.001,0.2151852548122406
6.26,0.97,0.0008437787182629108,8,4265,508,4366,364,-0.6177366599999999,0.001,0.3496246337890625
5.78,0.98,0.0005552957882173359,8,4282,509,4383,368,-0.561086,0.001,0.24197573959827423
5.23,0.99,0.0007691999198868871,8,4303,511,4404,372,-0.52006734,0.001,0.3399142026901245
5.17,0.99,0.0009142965427599847,8,4320,512,4421,376,-0.50790913,0.001,0.2379227578639984
5.07,0.99,0.0007875511073507369,8,4332,513,4433,380,-0.5001677600000001,0.001,0.28947004675865173
5.03,0.99,0.001063831616193056,8,4348,515,4449,384,-0.4898822299999999,0.001,0.23131123185157776
4.88,0.99,0.000787909550126642,8,4364,516,4465,388,-0.4773355200000001,0.001,0.24698936939239502
4.9,0.99,0.0014656945131719112,8,4383,517,4484,392,-0.47712606999999996,0.001,0.3410542607307434
4.82,0.99,0.0007391393301077187,8,4396,519,4497,396,-0.4656699399999999,0.001,0.37401679158210754
4.74,0.99,0.0006858325214125216,8,4406,520,4507,400,-0.45355393,0.001,0.21625755727291107
4.84,0.99,0.0012940692249685526,8,4430,523,4531,404,-0.45768944999999994,0.001,0.3272262513637543
4.91,0.99,0.0020646622870117426,8,4456,526,4557,408,-0.46799432999999996,0.001,0.37852388620376587
4.88,0.99,0.0007060655625537038,8,4474,529,4575,412,-0.46485741999999997,0.001,0.24038904905319214
4.92,0.99,0.001238395576365292,8,4496,531,4597,416,-0.4688618799999999,0.001,0.20874416828155518
5.42,0.98,0.0007570958696305752,8,4564,540,4665,420,-0.51506369,0.001,0.37628573179244995
4.95,0.99,0.0007600596873089671,8,4581,541,4682,424,-0.48107838999999997,0.001,0.2612006664276123
4.94,0.99,0.0007788604125380516,8,4595,543,4696,428,-0.48469158,0.001,0.23561608791351318
4.97,0.99,0.0006646623369306326,8,4615,546,4716,432,-0.49178723999999996,0.001,0.25055253505706787
4.98,0.99,0.0008016110514290631,8,4634,548,4735,436,-0.49627872999999995,0.001,0.3062778413295746
5.03,0.99,0.0007932427106425166,8,4656,551,4757,440,-0.49706375999999997,0.001,0.38097497820854187
5.05,0.99,0.0005402525421231985,8,4675,554,4776,444,-0.49838,0.001,0.2681563198566437
4.98,0.99,0.000862719607539475,8,4695,557,4796,448,-0.49345968,0.001,0.23129454255104065
4.97,0.99,0.0007861952180974185,8,4710,559,4811,452,-0.49360289,0.001,0.2726318836212158
4.9,0.99,0.0005343178054317832,8,4724,561,4825,456,-0.48640735000000007,0.001,0.29969674348831177
4.94,0.99,0.0009397545363754034,8,4740,563,4841,460,-0.49231710000000006,0.001,0.16718393564224243
4.96,0.99,0.0008471730398014188,8,4761,566,4862,464,-0.4941078500000001,0.001,0.22504156827926636
4.96,0.99,0.0009204855305142701,8,4778,569,4879,468,-0.49794795000000003,0.001,0.24709920585155487
4.91,0.99,0.0006489438819698989,8,4794,571,4895,472,-0.49474657,0.001,0.2867226004600525
4.98,0.99,0.0006604497320950031,8,4818,574,4919,476,-0.5023744499999999,0.001,0.24037230014801025
5.06,0.99,0.001050510909408331,8,4838,577,4939,480,-0.5120327000000001,0.001,0.2441152036190033
5.08,0.99,0.0008823488024063408,8,4856,579,4957,484,-0.5172233300000001,0.001,0.2593366205692291
5.09,0.99,0.0012709163129329681,8,4873,581,4974,488,-0.51594706,0.001,0.21950317919254303
5.06,0.99,0.0011571943759918213,8,4889,582,4990,492,-0.50930568,0.001,0.36457979679107666
5.11,0.99,0.0014611731749027967,8,4907,584,5008,496,-0.51875142,0.001,0.31068798899650574
5.21,0.99,0.0013603005791082978,8,4927,585,5028,500,-0.53400864,0.001,0.3474542498588562
5.13,0.99,0.0009142421185970306,8,4943,587,5044,504,-0.5298452,0.001,0.2959040105342865
5.08,0.99,0.0007797953439876437,8,4964,590,5065,508,-0.52103862,0.001,0.17058318853378296
5.2,0.99,0.000571572920307517,8,4994,594,5095,512,-0.5280927799999999,0.001,0.23249486088752747
5.29,0.99,0.0007018588948994875,8,5025,596,5126,516,-0.5362615300000001,0.001,0.2805873453617096
4.79,1.0,0.0005974736413918436,8,5043,597,5144,520,-0.4856026,0.001,0.3294644355773926
