time/total_timesteps,train/learning_rate,time/fps,train/critic_loss,time/episodes,train/ent_coef,rollout/ep_rew_mean,rollout/success_rate,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/actor_loss,train/ent_coef_loss
6881,0.0003,20,0.2700972557067871,248,0.14083214104175568,-12.69,0.84,6780,13.53,342,-3.5387232303619385,-6.704671859741211
6893,0.0003,20,0.17789986729621887,252,0.14037802815437317,-12.51,0.84,6792,13.35,343,-4.1916584968566895,-6.59715461730957
6913,0.0003,19,0.18075205385684967,256,0.13962210714817047,-11.61,0.86,6812,12.47,345,-4.324233531951904,-7.01820182800293
6938,0.0003,19,0.17462217807769775,260,0.13868820667266846,-10.77,0.88,6837,11.65,347,-3.8211281299591064,-6.936556816101074
6961,0.0003,19,0.1784174144268036,264,0.13782918453216553,-10.4,0.89,6860,11.29,349,-4.051770210266113,-6.760769844055176
6988,0.0003,19,0.3198894262313843,268,0.13683143258094788,-9.97,0.9,6887,10.87,352,-4.005026817321777,-6.967636585235596
7067,0.0003,19,0.3421088457107544,272,0.13398116827011108,-10.13,0.9,6966,11.03,358,-3.7329354286193848,-6.987905025482178
7095,0.0003,19,0.19607309997081757,276,0.13299216330051422,-9.15,0.92,6994,10.07,360,-3.757052421569824,-6.629909515380859
7141,0.0003,19,0.21855100989341736,280,0.13138160109519958,-8.94,0.93,7040,9.87,365,-3.4091992378234863,-7.001690864562988
7158,0.0003,19,0.33677181601524353,284,0.1307888776063919,-7.97,0.95,7057,8.92,367,-3.8285257816314697,-7.0296502113342285
7174,0.0003,19,0.3051068186759949,288,0.13022981584072113,-7.87,0.95,7073,8.82,369,-3.370131492614746,-6.919244289398193
7187,0.0003,19,0.20308473706245422,292,0.1297825574874878,-7.84,0.95,7086,8.79,371,-3.6780905723571777,-7.001040935516357
7236,0.0003,19,0.2278631329536438,296,0.12811461091041565,-7.62,0.96,7135,8.58,376,-2.978663206100464,-6.468369483947754
7255,0.0003,19,0.21752016246318817,300,0.12747211754322052,-7.13,0.97,7154,8.1,377,-3.2329483032226562,-7.232955455780029
7271,0.0003,19,0.24165233969688416,304,0.12693056464195251,-6.59,0.98,7170,7.57,378,-3.3025946617126465,-6.795787334442139
7289,0.0003,19,0.21516841650009155,308,0.1263335943222046,-6.35,0.98,7188,7.33,379,-3.1332578659057617,-6.7937235832214355
7310,0.0003,19,0.2755415737628937,312,0.12563295662403107,-6.37,0.98,7209,7.35,380,-3.3093464374542236,-7.241508483886719
