train/learning_rate,rollout/success_rate,time/time_elapsed,train/actor_loss,train/n_updates,rollout/ep_len_mean,time/episodes,time/fps,train/critic_loss,time/total_timesteps,rollout/ep_rew_mean
0.001,0.69,1147,4.2581281661987305,5301,20.69,172,4,0.381570041179657,5402,-20.0
0.001,0.72,1160,4.2470855712890625,5346,19.57,176,4,0.360281765460968,5447,-18.85
0.001,0.75,1164,4.095925331115723,5368,18.26,180,4,0.41503608226776123,5469,-17.51
0.001,0.77,1168,4.606715679168701,5389,17.32,184,4,0.43405720591545105,5490,-16.55
0.001,0.79,1170,4.554013729095459,5409,16.41,188,4,0.35357028245925903,5510,-15.62
0.001,0.81,1173,4.302806377410889,5429,15.37,192,4,0.3605009615421295,5530,-14.56
0.001,0.83,1176,3.818957805633545,5452,14.52,196,4,0.45980340242385864,5553,-13.69
0.001,0.86,1179,4.1686177253723145,5469,13.17,200,4,0.45900315046310425,5570,-12.31
0.001,0.89,1187,4.268495082855225,5526,12.23,204,4,0.4388582110404968,5627,-11.34
0.001,0.92,1191,3.8593926429748535,5550,10.93,208,4,0.41412854194641113,5651,-10.01
0.001,0.95,1193,4.251720905303955,5563,9.41,212,4,0.2724052965641022,5664,-8.46
0.001,0.96,1196,4.02514123916626,5581,8.93,216,4,0.29284605383872986,5682,-7.97
0.001,0.96,1200,4.290017604827881,5600,8.66,220,4,0.4215441644191742,5701,-7.7
0.001,0.95,1212,3.941077709197998,5672,9.1,224,4,0.3409864008426666,5773,-8.15
0.001,0.97,1218,4.14719295501709,5703,8.25,228,4,0.3881109356880188,5804,-7.28
0.001,0.97,1223,3.844236135482788,5724,8.22,232,4,0.47819003462791443,5825,-7.25
0.001,0.97,1227,4.471874713897705,5748,8.17,236,4,0.2572926878929138,5849,-7.2
0.001,0.97,1231,4.179179668426514,5770,7.76,240,4,0.48656803369522095,5871,-6.79
0.001,0.97,1234,4.209726333618164,5789,7.67,244,4,0.4898222088813782,5890,-6.7
0.001,0.97,1239,4.036148548126221,5806,7.62,248,4,0.5897599458694458,5907,-6.65
0.001,0.98,1248,4.181055545806885,5850,7.46,252,4,0.4163604974746704,5951,-6.48
0.001,0.98,1251,4.275110721588135,5865,7.33,256,4,0.45981365442276,5966,-6.35
0.001,0.98,1256,3.9531469345092773,5897,7.15,260,4,0.5564844608306885,5998,-6.17
0.001,0.98,1258,4.3640666007995605,5918,7.02,264,4,0.501636266708374,6019,-6.04
0.001,0.99,1261,4.09768009185791,5936,6.58,268,4,0.4174076020717621,6037,-5.59
0.001,0.99,1262,4.557175636291504,5952,6.51,272,4,0.5032931566238403,6053,-5.52
0.001,0.99,1265,4.582250118255615,5968,6.22,276,4,0.36269453167915344,6069,-5.23
0.001,0.99,1267,4.323397636413574,5984,6.16,280,4,0.3166368007659912,6085,-5.17
0.001,0.99,1269,4.110624313354492,6000,6.11,284,4,0.5030429363250732,6101,-5.12
0.001,0.98,1282,4.137884140014648,6065,6.56,288,4,0.42707717418670654,6166,-5.58
0.001,0.98,1286,4.326231002807617,6080,6.51,292,4,0.5889852643013,6181,-5.53
0.001,0.98,1289,4.0324602127075195,6094,6.42,296,4,0.3587402105331421,6195,-5.44
0.001,0.98,1292,3.843768835067749,6113,6.44,300,4,0.42370203137397766,6214,-5.46
0.001,0.98,1298,4.235570430755615,6135,6.09,304,4,0.47960105538368225,6236,-5.11
0.001,0.97,1313,4.10344934463501,6196,6.46,308,4,0.4020906090736389,6297,-5.49
0.001,0.97,1318,3.7768115997314453,6218,6.55,312,4,0.4351206123828888,6319,-5.58
0.001,0.96,1332,4.151788234710693,6282,7.01,316,4,0.3996378779411316,6383,-6.05
0.001,0.96,1334,4.0611701011657715,6296,6.96,320,4,0.49240535497665405,6397,-6.0
0.001,0.97,1341,3.9005446434020996,6317,6.45,324,4,0.4764772355556488,6418,-5.48
0.001,0.97,1345,3.9243931770324707,6333,6.3,328,4,0.4784832298755646,6434,-5.33
0.001,0.96,1355,3.831679105758667,6394,6.7,332,4,0.5699308514595032,6495,-5.74
0.001,0.96,1359,3.82230544090271,6425,6.77,336,4,0.4691679775714874,6526,-5.8
0.001,0.96,1365,3.5122201442718506,6450,6.8,340,4,0.4411146640777588,6551,-5.83
0.001,0.96,1370,3.4382376670837402,6466,6.77,344,4,0.45918577909469604,6567,-5.8
0.001,0.96,1373,3.762648582458496,6490,6.84,348,4,0.42755454778671265,6591,-5.87
0.001,0.96,1376,3.740201473236084,6507,6.57,352,4,0.3708118498325348,6608,-5.6
0.001,0.95,1385,3.3018219470977783,6572,7.07,356,4,0.4589880704879761,6673,-6.11
0.001,0.95,1386,3.642028331756592,6586,6.89,360,4,0.4381864070892334,6687,-5.93
0.001,0.95,1389,3.5785326957702637,6605,6.87,364,4,0.5236058831214905,6706,-5.91
0.001,0.95,1391,3.532710552215576,6624,6.88,368,4,0.4348173439502716,6725,-5.92
0.001,0.95,1394,3.4843082427978516,6648,6.96,372,4,0.4036940932273865,6749,-6.0
0.001,0.95,1397,3.8621225357055664,6666,6.98,376,4,0.4391690194606781,6767,-6.02
0.001,0.95,1399,3.9917712211608887,6684,7.0,380,4,0.37297964096069336,6785,-6.04
0.001,0.95,1400,3.701314926147461,6697,6.97,384,4,0.35044944286346436,6798,-6.01
0.001,0.95,1409,3.554983615875244,6765,7.0,388,4,0.3291451334953308,6866,-6.04
0.001,0.94,1418,3.1958494186401367,6826,7.46,392,4,0.4383310377597809,6927,-6.51
0.001,0.94,1420,3.6470136642456055,6843,7.49,396,4,0.3526304364204407,6944,-6.54
0.001,0.94,1429,3.556680202484131,6884,7.71,400,4,0.37623488903045654,6985,-6.76
0.001,0.94,1435,3.737234115600586,6905,7.7,404,4,0.46096929907798767,7006,-6.75
0.001,0.95,1439,3.6398661136627197,6921,7.25,408,4,0.456684410572052,7022,-6.29
0.001,0.95,1442,4.083871841430664,6939,7.21,412,4,0.41602396965026855,7040,-6.25
0.001,0.96,1444,3.7365453243255615,6956,6.74,416,4,0.3792998194694519,7057,-5.77
0.001,0.96,1447,3.447596549987793,6971,6.75,420,4,0.36142557859420776,7072,-5.78
