rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/fps,time/total_timesteps,train/n_updates,train/critic_loss,train/actor_loss,rollout/success_rate,train/learning_rate
-7.4077938625,568,31.0625,80,4,2485,2384,0.002224376890808344,0.6094200015068054,0.45,0.001
-7.116966476190475,577,30.357142857142858,84,4,2550,2449,0.0024432940408587456,0.5162253379821777,0.4642857142857143,0.001
-6.8721869204545465,589,29.738636363636363,88,4,2617,2516,0.002605156507343054,0.6024917960166931,0.4772727272727273,0.001
-6.601861010869567,592,28.695652173913043,92,4,2640,2539,0.0028544748201966286,0.46297338604927063,0.5,0.001
-6.343374135416667,594,27.677083333333332,96,4,2657,2556,0.002230721525847912,0.5553154945373535,0.5208333333333334,0.001
-6.112799840000001,597,26.79,100,4,2679,2578,0.0019484783988445997,0.55620938539505,0.54,0.001
-5.468418400000001,602,25.47,104,4,2707,2606,0.0031909504905343056,0.5226624608039856,0.57,0.001
-4.37759327,605,23.65,108,4,2725,2624,0.0026821766514331102,0.5045673251152039,0.61,0.001
-3.7934376699999994,620,22.31,112,4,2791,2690,0.002561008557677269,0.5403628945350647,0.64,0.001
-3.16685589,625,20.51,116,4,2811,2710,0.001936943968757987,0.5055506825447083,0.68,0.001
-2.7468108300000007,628,19.21,120,4,2834,2733,0.0036336826160550117,0.46903884410858154,0.71,0.001
-2.32869951,642,17.89,124,4,2902,2801,0.0028537926264107227,0.5419422388076782,0.74,0.001
-2.1060343699999997,654,16.54,128,4,2967,2866,0.0032699049916118383,0.43337956070899963,0.77,0.001
-1.9617424700000001,669,15.98,132,4,3032,2931,0.0033085111062973738,0.4611949324607849,0.78,0.001
-1.87065858,693,15.91,136,4,3176,3075,0.0028934471774846315,0.47183752059936523,0.79,0.001
-1.9916005099999998,727,17.25,140,4,3331,3230,0.0025451641995459795,0.4792240262031555,0.76,0.001
-1.8600978100000003,731,16.35,144,4,3349,3248,0.0021534357219934464,0.4532299041748047,0.78,0.001
-1.5575745999999997,735,14.62,148,4,3376,3275,0.001956638880074024,0.4554506540298462,0.82,0.001
-1.5054892100000004,739,13.9,152,4,3390,3289,0.0023029251024127007,0.4870135486125946,0.83,0.001
-1.4995825399999998,746,13.78,156,4,3433,3332,0.002484905067831278,0.42795249819755554,0.83,0.001
-1.4450439699999997,750,13.38,160,4,3455,3354,0.002902365056797862,0.42713797092437744,0.84,0.001
-1.39041329,757,12.86,164,4,3477,3376,0.0022690906189382076,0.45399075746536255,0.85,0.001
-1.3123298100000003,767,12.47,168,4,3515,3414,0.002378078643232584,0.5174098014831543,0.86,0.001
-1.11945578,771,11.58,172,4,3537,3436,0.0025841989554464817,0.4492718279361725,0.88,0.001
-1.0958119,774,11.3,176,4,3552,3451,0.0029798652976751328,0.4438423216342926,0.88,0.001
-1.05530147,778,10.94,180,4,3579,3478,0.0023474441841244698,0.4107625186443329,0.89,0.001
-1.02740429,780,10.49,184,4,3599,3498,0.003553250804543495,0.489509254693985,0.9,0.001
-0.98098256,783,10.03,188,4,3620,3519,0.0031440285965800285,0.3895251750946045,0.91,0.001
-0.9797189199999999,786,10.04,192,4,3644,3543,0.0027766802813857794,0.4650360941886902,0.91,0.001
-0.9841063299999999,788,10.05,196,4,3662,3561,0.0028737755492329597,0.5719069838523865,0.91,0.001
-0.97688197,790,10.0,200,4,3679,3578,0.0029555463697761297,0.3580784201622009,0.91,0.001
-1.01152502,799,10.4,204,4,3747,3646,0.0024697654880583286,0.414538711309433,0.9,0.001
-1.00915072,800,10.38,208,4,3763,3662,0.0027598869055509567,0.4157736897468567,0.9,0.001
-1.0174748599999999,808,10.4,212,4,3831,3730,0.002900838851928711,0.4773072898387909,0.9,0.001
