rollout/success_rate,time/time_elapsed,train/learning_rate,train/ent_coef,train/critic_loss,time/fps,train/ent_coef_loss,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/total_timesteps
0.18,505,0.0003,0.189768984913826,0.06543880701065063,11,-8.373564720153809,5541,2.536069631576538,-42.98,132,43.16,5642
0.19,514,0.0003,0.17990340292453766,0.05171865224838257,11,-8.639212608337402,5719,3.128891944885254,-42.75,136,42.94,5820
0.21,519,0.0003,0.17590321600437164,0.051917701959609985,11,-8.74860954284668,5794,3.3609867095947266,-41.7,140,41.91,5895
0.21,528,0.0003,0.16786858439445496,0.07566186785697937,11,-9.029454231262207,5950,3.853160858154297,-41.75,144,41.96,6051
0.22,551,0.0003,0.15834426879882812,0.09370428323745728,11,-9.236464500427246,6145,4.43123197555542,-41.69,148,41.91,6246
0.22,564,0.0003,0.14914774894714355,0.1791142225265503,11,-9.593741416931152,6345,5.098272323608398,-41.69,152,41.91,6446
0.21,577,0.0003,0.140524223446846,0.05400891229510307,11,-9.765453338623047,6545,5.859516143798828,-41.78,156,41.99,6646
0.22,591,0.0003,0.13298049569129944,0.1526385098695755,11,-10.08565616607666,6731,6.332923889160156,-41.63,160,41.85,6832
0.23,601,0.0003,0.1268656700849533,0.02811761386692524,11,-10.155128479003906,6891,6.911900520324707,-41.22,164,41.45,6992
0.23,613,0.0003,0.12115548551082611,0.04534769430756569,11,-9.907119750976562,7049,7.404830455780029,-41.0,168,41.23,7150
0.24,624,0.0003,0.11581253260374069,0.45110583305358887,11,-10.530158996582031,7204,7.992128849029541,-40.54,172,40.78,7305
0.24,632,0.0003,0.1108105257153511,0.04322528839111328,11,-10.505802154541016,7356,8.361601829528809,-40.51,176,40.75,7457
0.23,646,0.0003,0.10608422756195068,0.2880414128303528,11,-10.563177108764648,7508,8.929569244384766,-40.91,180,41.14,7609
0.25,652,0.0003,0.10381997376680374,0.4581716060638428,11,-10.328083038330078,7584,9.175421714782715,-40.07,184,40.32,7685
0.27,660,0.0003,0.10193048417568207,0.47103187441825867,11,-10.03707504272461,7650,9.404535293579102,-39.12,188,39.39,7751
0.26,673,0.0003,0.09754277020692825,0.24164608120918274,11,-10.174725532531738,7809,9.86858081817627,-39.57,192,39.83,7910
0.28,685,0.0003,0.09397701174020767,0.10173243284225464,11,-10.230339050292969,7945,10.406622886657715,-38.91,196,39.19,8046
0.28,695,0.0003,0.09014624357223511,1.0719184875488281,11,-10.079156875610352,8099,10.785350799560547,-38.94,200,39.22,8200
0.28,706,0.0003,0.0866382047533989,0.10055060684680939,11,-9.859591484069824,8250,11.261804580688477,-38.89,204,39.17,8351
0.28,718,0.0003,0.0831831619143486,0.20375275611877441,11,-8.778526306152344,8409,11.656450271606445,-38.9,208,39.18,8510
0.31,724,0.0003,0.08230236172676086,1.0399225950241089,11,-9.049223899841309,8451,11.783535957336426,-37.58,212,37.89,8552
0.33,736,0.0003,0.07925201952457428,0.5281738042831421,11,-9.201370239257812,8599,12.325942993164062,-37.04,216,37.37,8700
0.33,744,0.0003,0.0771380141377449,1.012086272239685,11,-9.365367889404297,8706,12.483221054077148,-36.95,220,37.28,8807
0.35,753,0.0003,0.07501017302274704,0.5678521394729614,11,-9.002192497253418,8820,13.034605979919434,-36.07,224,36.42,8921
0.39,758,0.0003,0.07406214624643326,1.9320433139801025,11,-7.916553497314453,8873,12.954056739807129,-34.56,228,34.95,8974
0.42,765,0.0003,0.0728699341416359,1.4442613124847412,11,-9.27202033996582,8941,13.265188217163086,-33.58,232,34.0,9042
0.45,769,0.0003,0.07215696573257446,0.1568179726600647,11,-8.355918884277344,8983,13.332894325256348,-32.19,236,32.64,9084
0.44,787,0.0003,0.07022156566381454,0.15508173406124115,11,-8.347492218017578,9099,13.74967098236084,-32.61,240,33.05,9200
0.47,788,0.0003,0.0699811801314354,1.413585901260376,11,-8.167606353759766,9114,13.675171852111816,-31.17,244,31.64,9215
0.49,796,0.0003,0.0687074288725853,3.497509479522705,11,-8.124471664428711,9195,13.589215278625488,-30.01,248,30.5,9296
0.53,801,0.0003,0.06779484450817108,1.3359440565109253,11,-7.969128131866455,9255,13.805335998535156,-28.57,252,29.1,9356
0.55,812,0.0003,0.06585868448019028,1.1396372318267822,11,-7.835623264312744,9393,14.153953552246094,-27.93,256,28.48,9494
0.55,826,0.0003,0.06386137008666992,2.4634878635406494,11,-6.6922197341918945,9547,14.215679168701172,-27.61,260,28.16,9648
0.58,830,0.0003,0.0633598193526268,1.681330919265747,11,-6.883100509643555,9586,14.630796432495117,-26.37,264,26.95,9687
0.6,837,0.0003,0.06258462369441986,0.6076313257217407,11,-6.208122730255127,9648,14.666301727294922,-25.39,268,25.99,9749
0.62,845,0.0003,0.061501797288656235,0.5277861952781677,11,-7.091914653778076,9736,15.053117752075195,-24.7,272,25.32,9837
0.65,848,0.0003,0.061120886355638504,1.9066829681396484,11,-5.7531914710998535,9767,14.42766284942627,-23.46,276,24.11,9868
0.66,857,0.0003,0.05986636504530907,2.259970188140869,11,-5.597682952880859,9877,14.951929092407227,-23.03,280,23.69,9978
