rollout/success_rate,train/actor_loss,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/n_updates,train/critic_loss,rollout/ep_len_mean,train/learning_rate,time/fps,time/time_elapsed
0.98,1.3493303060531616,5299,-4.88,344,5198,0.06871424615383148,5.86,0.001,8,651
0.99,1.0916380882263184,5318,-4.45,348,5217,0.15650008618831635,5.44,0.001,8,654
0.99,1.3066415786743164,5334,-4.4,352,5233,0.07829846441745758,5.39,0.001,8,657
0.99,1.1112723350524902,5347,-4.38,356,5246,0.0891907587647438,5.37,0.001,8,659
0.99,1.2720783948898315,5364,-4.35,360,5263,0.0769917368888855,5.34,0.001,8,663
0.99,1.2287119626998901,5379,-4.33,364,5278,0.08221326023340225,5.32,0.001,8,665
0.99,1.2236825227737427,5393,-4.22,368,5292,0.08027596771717072,5.21,0.001,8,668
0.99,1.2251455783843994,5417,-4.28,372,5316,0.08293801546096802,5.27,0.001,8,671
0.99,1.3445625305175781,5435,-4.28,376,5334,0.08943122625350952,5.27,0.001,8,674
0.99,1.0922693014144897,5450,-4.25,380,5349,0.0897190123796463,5.24,0.001,8,676
0.99,1.222826361656189,5466,-4.22,384,5365,0.08661888539791107,5.21,0.001,8,679
0.99,0.9201428890228271,5485,-4.21,388,5384,0.10967686772346497,5.2,0.001,8,683
0.99,0.9871525764465332,5503,-4.19,392,5402,0.08004939556121826,5.18,0.001,8,687
0.99,1.1454896926879883,5517,-4.17,396,5416,0.07412245869636536,5.16,0.001,8,689
1.0,0.9633486270904541,5534,-3.66,400,5433,0.08067630976438522,4.66,0.001,8,691
1.0,1.0099208354949951,5549,-3.41,404,5448,0.060628414154052734,4.41,0.001,7,693
1.0,1.0310873985290527,5568,-3.4,408,5467,0.07189637422561646,4.4,0.001,7,696
1.0,0.9799657464027405,5588,-3.44,412,5487,0.08553044497966766,4.44,0.001,7,698
1.0,0.9689851999282837,5604,-3.41,416,5503,0.07596981525421143,4.41,0.001,7,701
1.0,0.9901221990585327,5634,-3.47,420,5533,0.07733124494552612,4.47,0.001,7,704
1.0,1.132651686668396,5651,-3.5,424,5550,0.07604467868804932,4.5,0.001,7,706
1.0,1.210505485534668,5667,-3.52,428,5566,0.0729450061917305,4.52,0.001,7,708
1.0,1.0511411428451538,5684,-3.53,432,5583,0.10010059922933578,4.53,0.001,7,710
1.0,0.9418445825576782,5702,-3.53,436,5601,0.08939629048109055,4.53,0.001,7,712
1.0,1.2483750581741333,5719,-3.57,440,5618,0.07502151280641556,4.57,0.001,7,715
1.0,1.0163415670394897,5738,-3.39,444,5637,0.10928633064031601,4.39,0.001,8,717
