train/learning_rate,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/ent_coef_loss,train/n_updates,time/fps,train/actor_loss,time/episodes,train/ent_coef,rollout/success_rate
0.0003,717,4887,47.31,0.16084995865821838,-47.208,-6.138254642486572,4786,6,-7.021511077880859,104,0.24361245334148407,0.07
0.0003,736,5045,46.89,0.17213131487369537,-46.778,-6.320504188537598,4944,6,-6.604888916015625,108,0.23304790258407593,0.08
0.0003,756,5202,46.93,0.19562365114688873,-46.818000000000005,-6.422430515289307,5101,6,-6.754136085510254,112,0.22306141257286072,0.08
0.0003,777,5317,46.08,0.16591869294643402,-45.948,-6.390402317047119,5216,6,-6.3507981300354,116,0.21599595248699188,0.1
0.0003,801,5395,44.86,0.16249385476112366,-44.698,-6.3714470863342285,5294,6,-6.096691131591797,120,0.2113446146249771,0.13
0.0003,829,5556,44.47,0.20139789581298828,-44.303999999999995,-6.394342422485352,5455,6,-5.836315631866455,124,0.20208410918712616,0.14
0.0003,863,5715,44.06,0.25740846991539,-43.88399999999999,-6.631830215454102,5614,6,-6.134165287017822,128,0.19337701797485352,0.15
0.0003,891,5881,43.72,0.37564578652381897,-43.534,-6.944342613220215,5780,6,-5.581764221191406,132,0.18471138179302216,0.16
0.0003,895,5931,42.22,0.15026721358299255,-41.994,-6.641066551208496,5830,6,-5.259971618652344,136,0.1821865290403366,0.2
0.0003,909,6087,41.78,0.2907836437225342,-41.544,-6.763792514801025,5986,6,-4.920008182525635,140,0.17459040880203247,0.21
0.0003,917,6216,41.07,0.1554606854915619,-40.82000000000001,-6.811493873596191,6115,6,-5.06688117980957,144,0.16860054433345795,0.23
0.0003,926,6318,40.09,0.3177396059036255,-39.81,-6.7132673263549805,6217,6,-4.783932209014893,148,0.1640165001153946,0.26
0.0003,934,6418,39.09,0.14249546825885773,-38.788000000000004,-6.804189682006836,6317,6,-4.781033515930176,152,0.15965352952480316,0.29
0.0003,941,6523,38.14,0.23686829209327698,-37.808,-6.915643215179443,6422,6,-4.502036094665527,156,0.1551874876022339,0.32
0.0003,945,6576,36.67,0.29287588596343994,-36.298,-6.60453462600708,6475,6,-3.9076318740844727,160,0.1529882550239563,0.36
0.0003,947,6607,34.98,0.16459402441978455,-34.568000000000005,-6.780007362365723,6506,6,-4.986239433288574,164,0.15172132849693298,0.4
0.0003,950,6643,33.34,0.1695348024368286,-32.894,-6.782139301300049,6542,6,-4.428661346435547,168,0.15027543902397156,0.44
0.0003,954,6698,31.89,0.17062199115753174,-31.41,-7.318463325500488,6597,7,-4.266119956970215,172,0.14807647466659546,0.48
0.0003,956,6737,30.73,0.18804271519184113,-30.22,-7.0610127449035645,6636,7,-4.431650161743164,176,0.1465281993150711,0.51
0.0003,963,6824,29.89,0.33217597007751465,-29.36,-6.307023048400879,6723,7,-4.173754692077637,180,0.14317040145397186,0.53
0.0003,971,6935,29.0,0.20636577904224396,-28.44,-7.011476516723633,6834,7,-3.582785129547119,184,0.13905273377895355,0.56
0.0003,977,7027,28.3,0.22522172331809998,-27.72,-6.658015251159668,6926,7,-3.5897037982940674,188,0.1357060670852661,0.58
0.0003,978,7052,26.93,0.16715288162231445,-26.32,-6.7767720222473145,6951,7,-3.8910775184631348,192,0.13481733202934265,0.61
0.0003,981,7084,25.25,0.16682708263397217,-24.6,-6.849294662475586,6983,7,-3.6120591163635254,196,0.13370409607887268,0.65
0.0003,986,7130,23.71,0.4006694555282593,-23.02,-6.837009429931641,7029,7,-3.7161853313446045,200,0.13210925459861755,0.69
0.0003,989,7155,22.68,0.3289836347103119,-21.97,-6.665981769561768,7054,7,-3.829904079437256,204,0.13125547766685486,0.71
0.0003,995,7237,21.92,0.16487179696559906,-21.19,-7.275182247161865,7136,7,-3.177161693572998,208,0.12849211692810059,0.73
0.0003,998,7276,20.74,0.19906455278396606,-19.98,-6.304688930511475,7175,7,-3.230041265487671,212,0.12719006836414337,0.76
0.0003,1002,7323,20.06,0.2092815339565277,-19.28,-6.700942039489746,7222,7,-2.8088629245758057,216,0.12565788626670837,0.78
0.0003,1004,7345,19.5,0.2722502648830414,-18.71,-6.787137985229492,7244,7,-3.1949045658111572,220,0.12496057897806168,0.79
0.0003,1006,7374,18.18,0.2300865799188614,-17.36,-6.515209197998047,7273,7,-3.2628560066223145,224,0.1240365281701088,0.82
