train/critic_loss,train/learning_rate,time/total_timesteps,rollout/success_rate,train/ent_coef,train/actor_loss,train/ent_coef_loss,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates
0.126407653093338,0.0003,6868,0.15,0.13413096964359283,-16.776058197021484,-9.163493156433105,148,0,29477,45.1,-11.02185147,6767
0.4174630045890808,0.0003,7068,0.15,0.12661930918693542,-16.550519943237305,-9.497735977172852,152,0,29484,45.1,-10.801606379999999,6967
0.07061101496219635,0.0003,7202,0.16,0.12185223400592804,-16.528316497802734,-9.262054443359375,156,0,29489,44.64,-10.64818685,7101
2.402021884918213,0.0003,7402,0.16,0.11505390703678131,-16.2177791595459,-9.567261695861816,160,0,29497,44.64,-10.41797255,7301
0.09101768583059311,0.0003,7569,0.17,0.1096973717212677,-16.175182342529297,-9.523651123046875,164,0,29505,44.31,-10.267314129999999,7468
0.09388391673564911,0.0003,7754,0.18,0.1040734052658081,-16.041656494140625,-9.52269172668457,168,0,29513,44.16,-10.10916789,7653
0.12258115410804749,0.0003,7921,0.19,0.09928125888109207,-15.710334777832031,-9.792708396911621,172,0,29521,43.83,-9.872969690000001,7820
0.6338496208190918,0.0003,8095,0.2,0.09451352059841156,-15.705716133117676,-10.120573997497559,176,0,29528,43.57,-9.444302200000003,7994
0.5753312110900879,0.0003,8235,0.22,0.09083644300699234,-15.662394523620605,-10.018233299255371,180,0,29534,42.97,-9.077860240000001,8134
1.155256748199463,0.0003,8390,0.23,0.08694926649332047,-15.352774620056152,-9.856325149536133,184,0,29542,42.52,-8.82399089,8289
1.2648967504501343,0.0003,8590,0.23,0.08219067007303238,-15.379732131958008,-10.061579704284668,188,0,29551,42.52,-8.76163357,8489
0.09289257973432541,0.0003,8738,0.25,0.07885557413101196,-14.70930290222168,-9.976168632507324,192,0,29558,42.0,-8.509154389999999,8637
0.2785264253616333,0.0003,8908,0.25,0.07516182214021683,-14.796600341796875,-9.820079803466797,196,0,29565,41.93,-8.39610207,8807
0.5502575039863586,0.0003,9019,0.26,0.07286818325519562,-14.617671966552734,-10.464475631713867,200,0,29571,41.39,-8.23916297,8918
0.09630263596773148,0.0003,9129,0.28,0.07067811489105225,-14.649490356445312,-10.571976661682129,204,0,29575,40.49,-7.89024976,9028
1.00387704372406,0.0003,9282,0.29,0.06770835816860199,-14.744939804077148,-10.636859893798828,208,0,29583,40.02,-7.62209242,9181
0.09089691936969757,0.0003,9467,0.29,0.0642792284488678,-14.512179374694824,-10.552963256835938,212,0,29591,40.14,-7.66614591,9366
0.5252068042755127,0.0003,9630,0.3,0.061406999826431274,-14.034537315368652,-10.573202133178711,216,0,29598,39.77,-7.494776900000001,9529
0.6404318809509277,0.0003,9748,0.32,0.05941328406333923,-14.150140762329102,-10.455821990966797,220,0,29604,38.95,-7.169581060000001,9647
0.5935838222503662,0.0003,9897,0.33,0.05698026344180107,-14.02712345123291,-10.643614768981934,224,0,29610,38.54,-7.098977280000001,9796
0.977211594581604,0.0003,10005,0.33,0.05528390780091286,-13.785045623779297,-10.271685600280762,228,0,29615,38.28,-7.039454659999999,9904
0.09285534918308258,0.0003,10169,0.33,0.05281553417444229,-13.53110408782959,-10.02838134765625,232,0,29622,38.39,-6.958922359999999,10068
0.3917168974876404,0.0003,10324,0.32,0.05060938373208046,-13.72945785522461,-9.875116348266602,236,0,29629,38.64,-6.88952779,10223
0.07667817920446396,0.0003,10501,0.31,0.04819268733263016,-13.234088897705078,-10.65234088897705,240,0,29637,39.25,-6.887393319999998,10400
1.340358018875122,0.0003,10593,0.32,0.04697182774543762,-13.243794441223145,-10.359016418457031,244,0,29641,38.87,-6.706813069999999,10492
0.14538700878620148,0.0003,10793,0.31,0.044410187751054764,-13.038301467895508,-10.959988594055176,248,0,29656,39.25,-6.732614859999999,10692
0.285017192363739,0.0003,10903,0.34,0.04307447373867035,-12.626337051391602,-10.858887672424316,252,0,29670,38.35,-6.55245247,10802
0.38092291355133057,0.0003,11068,0.33,0.041168149560689926,-12.72244930267334,-10.547396659851074,256,0,29686,38.66,-6.665268829999999,10967
1.4416074752807617,0.0003,11268,0.33,0.03897084668278694,-12.53988265991211,-10.877954483032227,260,0,29705,38.66,-6.509685899999998,11167
0.4036647379398346,0.0003,11421,0.33,0.03738325461745262,-12.28447151184082,-10.011272430419922,264,0,29718,38.52,-6.40375186,11320
0.530738115310669,0.0003,11621,0.32,0.03542710095643997,-11.963610649108887,-10.064105987548828,268,0,29733,38.67,-6.510825059999999,11520
0.7418794631958008,0.0003,11780,0.33,0.0339386872947216,-11.475188255310059,-10.070635795593262,272,0,29744,38.59,-6.4574029,11679
0.6284775733947754,0.0003,11980,0.32,0.03217891603708267,-11.76913070678711,-9.796367645263672,276,0,29759,38.85,-6.41242926,11879
0.48875343799591064,0.0003,12180,0.3,0.030527200549840927,-11.756610870361328,-10.46445083618164,280,0,29774,39.45,-6.517880239999999,12079
0.9222890138626099,0.0003,12375,0.31,0.028981884941458702,-11.250310897827148,-10.29306697845459,284,0,29787,39.85,-6.41406443,12274
0.56822669506073,0.0003,12488,0.33,0.028132189065217972,-11.003714561462402,-9.175214767456055,288,0,29796,38.98,-6.26284342,12387
0.47192806005477905,0.0003,12688,0.31,0.026712512597441673,-10.946398735046387,-9.856107711791992,292,0,29810,39.5,-6.40315942,12587
0.16074511408805847,0.0003,12766,0.33,0.026159627363085747,-10.760940551757812,-9.976481437683105,296,0,29817,38.58,-6.217602219999999,12665
0.2763007879257202,0.0003,12876,0.33,0.025416569784283638,-10.685564994812012,-10.642946243286133,300,0,29825,38.57,-6.19067341,12775
