time/total_timesteps,train/n_updates,rollout/success_rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/critic_loss,time/episodes,train/learning_rate,time/time_elapsed
2718,2617,0.92,5,-1.0072601,10.6,0.2699929475784302,0.0008532081265002489,156,0.001,485
2739,2638,0.92,5,-0.98043661,10.2,0.17753757536411285,0.0005585480248555541,160,0.001,489
2758,2657,0.93,5,-0.9430000900000002,9.67,0.2593744695186615,0.00045576313277706504,164,0.001,493
2778,2677,0.93,5,-0.9153424200000001,9.37,0.2091761827468872,0.0005325403762981296,168,0.001,497
2792,2691,0.94,5,-0.8390033400000001,8.67,0.1775379329919815,0.00043584173545241356,172,0.001,499
2811,2710,0.94,5,-0.83021651,8.59,0.2713749408721924,0.0005042238044552505,176,0.001,502
2873,2772,0.95,5,-0.74517726,8.07,0.19600415229797363,0.0005128991324454546,180,0.001,513
2890,2789,0.95,5,-0.7405551800000001,8.0,0.246995210647583,0.0005555929965339601,184,0.001,515
2912,2811,0.96,5,-0.69936352,7.57,0.23302966356277466,0.0006586873205378652,188,0.001,519
2927,2826,0.96,5,-0.67330193,7.27,0.2562447786331177,0.0005031250766478479,192,0.001,521
2949,2848,0.96,5,-0.6761147600000001,7.29,0.24367445707321167,0.000416077469708398,196,0.001,525
2966,2865,0.97,5,-0.6355359100000001,6.86,0.2355702668428421,0.0006349305040203035,200,0.001,527
2982,2881,0.97,5,-0.62360869,6.7,0.16418734192848206,0.00042124371975660324,204,0.001,530
3000,2899,0.97,5,-0.61741948,6.62,0.19813235104084015,0.00041429087286815047,208,0.001,533
3016,2915,0.97,5,-0.61114247,6.52,0.23647482693195343,0.0005121821304783225,212,0.001,534
3038,2937,0.97,5,-0.60927585,6.47,0.22524826228618622,0.0004050792194902897,216,0.001,537
3055,2954,0.97,5,-0.60375196,6.42,0.21594242751598358,0.0004992043832316995,220,0.001,539
3075,2974,0.98,5,-0.5637913,5.94,0.23105119168758392,0.0007514008320868015,224,0.001,543
3092,2991,0.98,5,-0.5644643599999999,5.95,0.17474013566970825,0.0003421557485125959,228,0.001,546
3113,3012,0.98,5,-0.56228842,5.94,0.1667155921459198,0.00040680792881175876,232,0.001,548
3126,3025,0.98,5,-0.5632051100000001,5.92,0.16636738181114197,0.0004231591010466218,236,0.001,550
3140,3039,0.99,5,-0.5228997500000001,5.4,0.16289006173610687,0.0005453309277072549,240,0.001,552
3161,3060,0.99,5,-0.52502285,5.39,0.19255521893501282,0.0006045567570254207,244,0.001,555
3180,3079,0.99,5,-0.5335944700000002,5.44,0.221651092171669,0.0005194192635826766,248,0.001,558
3203,3102,1.0,5,-0.50850582,5.07,0.13835649192333221,0.0005733457510359585,252,0.001,560
3226,3125,1.0,5,-0.5179377800000001,5.08,0.18400537967681885,0.0003374093503225595,256,0.001,563
3254,3153,1.0,5,-0.52167232,5.15,0.23255786299705505,0.0005413562757894397,260,0.001,568
3285,3184,1.0,5,-0.53712187,5.27,0.18511255085468292,0.00035164845758117735,264,0.001,573
3311,3210,1.0,5,-0.55069963,5.33,0.1871263086795807,0.0004110101726837456,268,0.001,576
3325,3224,1.0,5,-0.5497460300000001,5.33,0.21320098638534546,0.0005715833976864815,272,0.001,578
3344,3243,1.0,5,-0.5482685099999999,5.33,0.1648423671722412,0.00037489080568775535,276,0.001,580
3361,3260,1.0,5,-0.52188507,4.88,0.23074862360954285,0.00039826473221182823,280,0.001,582
3380,3279,1.0,5,-0.5196512400000001,4.9,0.17697274684906006,0.00041307747596874833,284,0.001,585
3395,3294,1.0,5,-0.51126902,4.83,0.2588873505592346,0.00042192640830762684,288,0.001,587
3412,3311,1.0,5,-0.5130722,4.85,0.18397852778434753,0.000346029904903844,292,0.001,590
3428,3327,1.0,5,-0.50844838,4.79,0.1789548099040985,0.0003580414049793035,296,0.001,592
3449,3348,1.0,5,-0.5126126,4.83,0.20750483870506287,0.0004963645478710532,300,0.001,595
3463,3362,1.0,5,-0.5076298,4.81,0.17420916259288788,0.000754492066334933,304,0.001,596
3477,3376,1.0,5,-0.50417247,4.77,0.1731453388929367,0.0005540428683161736,308,0.001,598
3498,3397,1.0,5,-0.50742744,4.82,0.20840056240558624,0.0005071602645330131,312,0.001,601
3520,3419,1.0,5,-0.50157144,4.82,0.20159032940864563,0.0003479782899376005,316,0.001,603
3538,3437,1.0,5,-0.50414744,4.83,0.24754206836223602,0.0005179742001928389,320,0.001,605
3554,3453,1.0,5,-0.49667521000000003,4.79,0.20622585713863373,0.0003243345126975328,324,0.001,608
3569,3468,1.0,5,-0.4949167199999999,4.77,0.15738019347190857,0.0003835897659882903,328,0.001,610
3590,3489,1.0,5,-0.49279739999999994,4.77,0.18415606021881104,0.0003462237073108554,332,0.001,613
3620,3519,1.0,5,-0.5107137599999999,4.94,0.18094563484191895,0.0004899072227999568,336,0.001,617
3632,3531,1.0,5,-0.50575125,4.92,0.18096637725830078,0.00020559159747790545,340,0.001,619
3649,3548,1.0,5,-0.4993651,4.88,0.17643046379089355,0.00035220792051404715,344,0.001,622
3667,3566,1.0,5,-0.49754318999999997,4.87,0.1448332965373993,0.0003480447339825332,348,0.001,624
3684,3583,1.0,5,-0.4946417,4.81,0.18696321547031403,0.0003162614011671394,352,0.001,626
3708,3607,1.0,5,-0.49445558000000006,4.82,0.1380145102739334,0.0002996180846821517,356,0.001,630
3721,3620,1.0,5,-0.47802164999999985,4.67,0.20869240164756775,0.00047303340397775173,360,0.001,631
3739,3638,1.0,5,-0.45777239000000003,4.54,0.19357433915138245,0.0004506082332227379,364,0.001,634
3758,3657,1.0,5,-0.44259918,4.47,0.14752863347530365,0.00039659751928411424,368,0.001,636
3781,3680,1.0,5,-0.45505492999999997,4.56,0.16931772232055664,0.000331421586452052,372,0.001,639
3798,3697,1.0,5,-0.45158323,4.54,0.1662033647298813,0.000384643382858485,376,0.001,641
3820,3719,1.0,5,-0.45781615000000003,4.59,0.23048564791679382,0.0003540032485034317,380,0.001,644
3832,3731,1.0,5,-0.45100770000000007,4.52,0.15566322207450867,0.00044964233529753983,384,0.001,646
3851,3750,1.0,5,-0.45309553,4.56,0.21729154884815216,0.00040353884105570614,388,0.001,649
3864,3763,1.0,5,-0.44946155999999987,4.52,0.18830765783786774,0.0006085035856813192,392,0.001,651
3886,3785,1.0,5,-0.4586667,4.58,0.1704983413219452,0.0006016999832354486,396,0.001,654
3901,3800,1.0,5,-0.4509535199999999,4.52,0.20407551527023315,0.0008838445064611733,400,0.001,656
3920,3819,1.0,5,-0.4584048499999999,4.57,0.17142970860004425,0.0004681825521402061,404,0.001,658
3938,3837,1.0,5,-0.46338536999999996,4.61,0.15815332531929016,0.0005426870775409043,408,0.001,661
3956,3855,1.0,5,-0.46042608,4.58,0.16266927123069763,0.0005760665517300367,412,0.001,663
3970,3869,1.0,5,-0.45103343,4.5,0.13595934212207794,0.00039730261778458953,416,0.001,665
