train/ent_coef_loss,train/actor_loss,rollout/success_rate,time/episodes,time/time_elapsed,train/critic_loss,train/n_updates,time/total_timesteps,train/learning_rate,train/ent_coef,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean
-8.728230476379395,2.928109884262085,0.15,132,594,0.0376238152384758,5731,5832,0.0003,0.17924806475639343,44.78,9,-44.63
-8.959123611450195,3.574378490447998,0.14,136,607,0.008013201877474785,5931,6032,0.0003,0.16881631314754486,44.91,9,-44.77
-9.292012214660645,4.147202968597412,0.14,140,622,0.1343453824520111,6131,6232,0.0003,0.15899595618247986,44.91,10,-44.77
-9.578307151794434,4.873393535614014,0.13,144,633,0.012655374594032764,6331,6432,0.0003,0.14975224435329437,45.24,10,-45.11
-9.745762825012207,5.44373893737793,0.14,148,642,0.08963990956544876,6490,6591,0.0003,0.1427985429763794,44.83,10,-44.69
-9.8466157913208,5.772207736968994,0.15,152,649,0.018757902085781097,6599,6700,0.0003,0.13823100924491882,44.35,10,-44.2
-10.055866241455078,6.4170098304748535,0.14,156,661,0.24670282006263733,6799,6900,0.0003,0.13025633990764618,44.72,10,-44.58
-10.33815860748291,7.107640743255615,0.14,160,670,0.3412950038909912,6999,7100,0.0003,0.12280292809009552,44.72,10,-44.58
-10.478322982788086,7.778124809265137,0.13,164,684,0.03391916677355766,7199,7300,0.0003,0.11581982672214508,44.82,10,-44.69
-10.518171310424805,8.313631057739258,0.15,168,692,0.03459407389163971,7335,7436,0.0003,0.1113370954990387,44.18,10,-44.03
-10.552324295043945,8.708946228027344,0.17,172,700,0.3232482075691223,7451,7552,0.0003,0.10768687725067139,43.34,10,-43.17
